0,1084.98176026
1,1056.79522158
2,1036.03488115
3,1018.40281592
4,1017.24020976
5,1017.44660087
6,1017.44660087
7,1017.44660087
8,1015.47301124
9,1015.47301124
10,1014.37378106
11,1014.37378106
12,1014.37378106
13,1014.37378106
14,1014.37378106
15,1014.37378106
16,1014.37378106
17,1014.37378106
18,1014.37378106
19,1014.37378106
20,1014.37378106
21,1014.37378106
22,1014.37378106
23,1014.37378106
24,1014.37378106
25,1014.37378106
26,1014.37378106
27,1014.37378106
28,1014.37378106
29,1014.37378106
30,1014.37378106
31,1014.37378106
32,1014.37378106
33,1014.37378106
