0,3212.15017941002
1,488.416861689997
2,533.453430139999
3,475.04147103
4,316.998693
5,523.05583484
6,559.785363659999
7,582.337511119999
8,385.458005039999
9,420.478268780001
10,630.846835689999
11,953.911791379997
12,749.038165190002
13,962.771998370004
14,896.169574489998
15,1011.98616434
16,2060.15997780001
17,2512.79079657
18,1590.99407244002
19,1115.24675845
20,1268.0190594
21,2175.27225243001
22,2050.94635978001
23,1373.00045216
24,1465.84368720001
25,1403.02063158
26,2154.29985699
27,1720.31963367002
28,1197.29117393001
29,1241.69011309
30,1274.42486493
31,2053.86534265001
32,1115.72856418
33,1910.09083783001
34,2243.95883137002
35,2712.75536593002
36,1288.92240767001
37,1356.04485293001
38,2166.39353970002
39,1708.38755948001
40,1498.26287044001
41,1587.24655895001
